排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,苍响,137.49,7.15,60.52%,0.66%,1,57.31%
2,花疗环环,119.25,8.17,59.87%,1.16%,2,41.7%
3,勾魂眼,76.98,3.31,55.68%,0.71%,7,14.07%
4,朽木妖,72.29,-1.96,53.26%,-0.5%,4,31.67%
5,梦幻,68.51,-0.21,53.93%,-0.19%,13,11.42%
6,呆壳兽,68.14,3.05,52.81%,1.03%,5,21.59%
7,冰伊布,66.19,0.99,52.73%,0.48%,9,13.77%
8,嘟嘟利,64.7,-1.55,52.53%,-0.7%,17,9.19%
9,太阳伊布,63.69,-0.85,50.85%,-0.2%,3,38.98%
10,古月鸟,61.3,-1.46,50.81%,-0.91%,31,5.18%
11,妖火红狐,60.39,0.21,50.21%,0.11%,18,9.09%
12,胡帕,60.28,2.73,50.18%,0.85%,37,3.91%
13,水箭龟,59.17,0.92,49.58%,0.49%,6,14.18%
14,白蓬蓬,59.16,-1.01,49.68%,-0.42%,22,7.28%
15,怪力,58.68,1.11,49.48%,0.42%,21,7.72%
16,铝钢龙,58.39,4.4,49.71%,0.89%,48,2.38%
17,武道熊师,58.32,1.4,49.2%,0.63%,15,11.04%
18,沙奈朵,57.53,-0.79,48.75%,-0.42%,11,12.85%
19,皮可西,56.38,-1.94,48.65%,-0.68%,28,5.82%
20,藏饱栗鼠,55.99,-4.74,49.38%,-1.16%,49,2.26%
21,多龙巴鲁托,55.0,-2.91,48.35%,-0.97%,29,5.73%
22,仙子伊布,54.24,-0.54,47.73%,-0.16%,20,7.76%
23,魔墙人偶,53.69,3.42,48.69%,0.71%,45,2.96%
24,狙射树枭,52.88,-0.67,46.45%,-0.39%,12,12.69%
25,皮卡丘,52.07,0.28,46.41%,0.12%,16,10.98%
26,幸福蛋,51.89,-4.12,47.7%,-1.09%,34,4.45%
27,黏美龙,51.22,-2.54,45.12%,-0.96%,8,13.98%
28,甲贺忍蛙,51.2,-1.51,45.31%,-0.83%,10,12.97%
29,卡比兽,50.99,-0.09,47.78%,0.27%,37,3.91%
30,路卡利欧,50.72,-2.06,46.96%,-0.57%,26,6.0%
31,象牙猪,50.03,1.23,46.66%,0.4%,27,5.92%
32,妙蛙花,49.72,-1.06,45.37%,-0.35%,14,11.4%
33,烈箭鹰,49.42,3.96,46.25%,1.05%,25,6.18%
34,闪焰王牌,49.39,-2.27,45.57%,-1.01%,19,8.43%
35,烈咬陆鲨,46.25,2.76,47.55%,0.56%,46,2.88%
36,耿鬼,46.14,-0.26,44.77%,-0.14%,24,6.27%
37,胖可丁,44.89,-4.79,46.75%,-1.03%,43,3.24%
38,阿勃梭鲁,44.29,2.76,44.93%,0.63%,30,5.65%
39,索罗亚克,44.0,-2.6,45.85%,-0.57%,32,4.56%
40,巨钳螳螂,43.19,-1.22,44.08%,-0.36%,23,6.52%
41,班基拉斯,41.01,-6.12,45.35%,-1.33%,42,3.28%
42,喷火龙,40.87,-0.48,45.19%,0.03%,39,3.89%
43,捷拉奥拉,39.33,-3.19,44.35%,-0.59%,33,4.52%
44,玛力露丽,37.71,-5.24,44.47%,-1.08%,41,3.79%
45,坚盾剑怪,36.65,-4.95,44.48%,-0.52%,35,4.13%
46,阿罗拉九尾,33.38,-6.62,43.8%,-1.14%,36,4.01%
47,爆肌蚊,32.99,-1.65,44.09%,0.3%,40,3.85%
48,岩殿居蟹,30.38,-8.11,44.48%,-0.97%,44,3.17%
49,快龙,25.57,-2.43,44.08%,0.17%,50,2.12%
50,甜冷美后,15.65,-9.56,43.84%,-0.7%,47,2.42%
