,一共游戏场数,4061
,,气势头带	猛攻哑铃	连打围巾,6,60.0%,1
,,力量头带	气势头带	焦点镜,2,66.67%,1
,,力量头带	猛攻哑铃	能量增幅器,1,100.0%,1
4,妖火红狐,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,55,16.35%,476,71.69%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,luke_lol_123,64,69.57%
,,Bagulbulito,47,78.33%
,,牛乳ロックで,28,73.68%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法火焰	蓄能焰袭	逃脱按键,300,73.89%,41
,,魔法火焰	蓄能焰袭	万灵药,174,68.24%,21
,,魔法火焰	火焰旋涡	万灵药,1,100.0%,1
,,魔法火焰	火焰旋涡	逃脱按键,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,能量增幅器	讲究眼镜	贝壳之铃,234,74.52%,28
,,救援屏障	能量增幅器	贝壳之铃,75,72.12%,9
,,博识眼镜	讲究眼镜	贝壳之铃,24,75.0%,3
,,博识眼镜	能量增幅器	贝壳之铃,23,60.53%,3
,,救援屏障	气势头带	能量增幅器,7,70.0%,3
,,博识眼镜	能量增幅器	讲究眼镜,6,75.0%,3
,,救援屏障	能量增幅器	讲究眼镜,5,71.43%,2
,,气势头带	能量增幅器	讲究眼镜,64,69.57%,1
,,救援屏障	能量增幅器	进击眼镜,28,73.68%,1
,,博识眼镜	气势头带	讲究眼镜,9,47.37%,1
,,能量增幅器	讲究眼镜	进击眼镜,1,50.0%,1
5,皮可西,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,39,9.26%,280,74.47%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,YASH_4EVER?,36,72.0%
,,OЯG・DrakenN,34,79.07%
,,S8uL・proD,34,73.91%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,月光		重力		速度强化,205,74.01%,27
,,月光		重力		逃脱按键,30,73.17%,6
,,月光		重力		伤药	,21,80.77%,2
,,月光		重力		迟缓烟雾,12,80.0%,4
,,吸取之吻	看我嘛	速度强化,4,100.0%,3
,,月光		看我嘛	速度强化,3,75.0%,3
,,吸取之吻	看我嘛	逃脱按键,2,50.0%,2
,,吸取之吻	重力		迟缓烟雾,1,100.0%,1
,,吸取之吻	看我嘛	攻击强化,1,50.0%,1
,,月光		看我嘛	逃脱按键,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	气势头带,88,71.54%,11
,,学习装置	气势头带	进击眼镜,59,79.73%,7
,,博识眼镜	学习装置	气势头带,24,77.42%,4
,,学习装置	能量增幅器	进击眼镜,42,73.68%,2
,,学习装置	救援屏障	能量增幅器,9,69.23%,2
,,学习装置	救援屏障	进击眼镜,7,87.5%,2
,,学习装置	气势头带	讲究眼镜,4,100.0%,2
,,博识眼镜	气势头带	进击眼镜,20,80.0%,1
,,博识眼镜	救援屏障	讲究眼镜,13,65.0%,1
,,救援屏障	气势头带	能量增幅器,5,100.0%,1
,,博识眼镜	学习装置	救援屏障,4,66.67%,1
,,气势头带	能量增幅器	贝壳之铃,1,100.0%,1
,,救援屏障	能量增幅器	讲究眼镜,1,50.0%,1
,,得分护盾	救援屏障	气势头带,1,50.0%,1
,,救援屏障	气势头带	讲究眼镜,1,50.0%,1
,,学习装置	能量增幅器	贝壳之铃,1,33.33%,1
6,勾魂眼,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,11,8.67%,272,77.27%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Ditto'柊,91,77.12%
,,Fe2,73,77.66%
,,悪魔ですます,66,84.62%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,拍落		奇异之光	速度强化,263,77.13%,8
,,拍落		出奇一击	速度强化,4,80.0%,4
,,影子偷袭	奇异之光	速度强化,3,100.0%,3
,,影子偷袭	出奇一击	伤药	,1,100.0%,1
,,拍落		奇异之光	逃脱按键,1,100.0%,1
,,影子偷袭	出奇一击	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	气势头带	轻石,30,66.67%,3
,,吃剩的东西	学习装置	轻石,139,80.81%,2
,,学习装置	猛攻哑铃	轻石,91,77.12%,1
,,学习装置	轻石	锐利之爪,5,62.5%,1
,,学习装置	得分护盾	猛攻哑铃,3,100.0%,1
,,气势头带	猛攻哑铃	轻石,3,75.0%,1
,,学习装置	猛攻哑铃	突击背心,1,100.0%,1
,,学习装置	气势头带	猛攻哑铃,0,0.0%,1
7,巨钳螳螂,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,33,8.08%,227,69.21%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Holly__,49,66.22%
,,Pistеriо,42,73.68%
,,HashOP,37,64.91%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,双翼		二连击	万灵药,154,69.37%,22
,,双翼		剑舞		万灵药,60,66.67%,12
,,双翼		二连击	逃脱按键,7,87.5%,1
,,双翼		二连击	攻击强化,3,75.0%,1
,,子弹拳	剑舞		万灵药,2,66.67%,2
,,双翼		剑舞		逃脱按键,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	能量增幅器	锐利之爪,69,66.99%,8
,,猛攻哑铃	能量增幅器	锐利之爪,24,85.71%,8
,,气势头带	猛攻哑铃	锐利之爪,101,67.79%,7
,,气势头带	猛攻哑铃	能量增幅器,12,80.0%,3
,,弱点保险	气势头带	能量增幅器,8,80.0%,2
,,弱点保险	气势头带	猛攻哑铃,7,70.0%,1
,,力量头带	猛攻哑铃	锐利之爪,4,50.0%,1
,,力量头带	气势头带	锐利之爪,1,100.0%,1
,,焦点镜	猛攻哑铃	锐利之爪,1,33.33%,1
,,力量头带	猛攻哑铃	能量增幅器,0,0.0%,1
8,冰伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,45,7.93%,221,68.63%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,카이,21,61.76%
,,CPH>NARUTO,15,51.72%
,,IㅤAMㅤMAX,14,93.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
