排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,千面避役,62,10.65%,-0.84%,288,71.46%
2,坚盾剑怪,66,7.58%,-0.24%,193,67.25%
3,甜冷美后,58,6.69%,-1.72%,178,70.36%
4,武道熊师,68,5.34%,-0.36%,141,69.8%
5,谜拟丘,50,4.94%,1.34%,137,73.26%
6,密勒顿,46,4.81%,0.6%,137,75.27%
7,超梦Y,41,4.62%,-0.14%,116,66.29%
7,火焰鸡,56,4.62%,1.2%,132,75.43%
9,索罗亚克,49,4.55%,-0.7%,124,72.09%
10,叶伊布,47,4.41%,0.75%,127,76.05%
11,苍炎刃鬼,41,4.31%,-0.59%,122,74.85%
12,甲贺忍蛙,51,4.12%,-0.95%,110,70.51%
13,烈咬陆鲨,42,3.94%,-0.44%,111,74.5%
14,月亮伊布,33,3.75%,-0.63%,108,76.06%
15,幸福蛋,29,3.7%,-0.55%,106,75.71%
16,爆肌蚊,36,3.57%,0.66%,96,71.11%
16,巨钳螳螂,38,3.57%,0.4%,95,70.37%
18,怪力,44,3.25%,0.38%,87,70.73%
19,嘟嘟利,42,3.22%,0.01%,92,75.41%
20,巨金怪,41,3.14%,0.9%,75,63.03%
21,阿勃梭鲁,32,3.09%,-0.44%,88,75.21%
22,达克莱伊,40,2.96%,0.93%,80,71.43%
23,水箭龟,28,2.8%,0.69%,70,66.04%
24,巨锻匠,32,2.48%,0.39%,77,81.91%
25,路卡利欧,35,2.46%,0.34%,69,74.19%
25,苍响,32,2.46%,-0.52%,66,70.97%
27,可达鸭,26,2.3%,-0.14%,66,75.86%
27,朽木妖,24,2.3%,0.19%,61,70.11%
29,白蓬蓬,25,2.25%,0.07%,62,72.94%
30,卡比兽,21,2.09%,0.13%,59,74.68%
31,红莲铠骑,25,2.01%,1.04%,60,78.95%
31,象牙猪,22,2.01%,0.46%,55,72.37%
33,太阳伊布,21,1.98%,0.62%,49,65.33%
34,冰伊布,28,1.9%,-0.1%,49,68.06%
35,捷拉奥拉,30,1.82%,0.03%,46,66.67%
36,胡帕,25,1.8%,-0.08%,46,67.65%
37,岩殿居蟹,20,1.4%,0.17%,33,62.26%
38,凤王,18,1.37%,0.53%,43,82.69%
38,勾魂眼,6,1.37%,0.88%,42,80.77%
40,暴鲤龙,24,1.35%,0.27%,40,78.43%
41,呆壳兽,21,1.29%,-0.32%,39,79.59%
42,沙奈朵,14,1.06%,-0.11%,28,70.0%
43,皮可西,14,1.03%,-0.33%,30,76.92%
43,妙蛙花,19,1.03%,-0.31%,30,76.92%
45,烈箭鹰,18,1.0%,-0.2%,24,63.16%
45,梦幻,22,1.0%,0.06%,29,76.32%
47,喷火龙,19,0.92%,0.06%,21,60.0%
48,超梦X,7,0.9%,0.34%,23,67.65%
49,耿鬼,11,0.85%,0.2%,22,68.75%
50,黏美龙,11,0.79%,0.45%,23,76.67%
51,闪焰王牌,18,0.74%,-1.61%,20,71.43%
52,皮卡丘,14,0.66%,0.23%,21,84.0%
53,魔幻假面喵,11,0.58%,0.26%,14,63.64%
54,伽勒尔烈焰马,8,0.55%,-2.46%,14,66.67%
54,狙射树枭,12,0.55%,-0.33%,14,66.67%
56,班基拉斯,9,0.53%,0.23%,18,90.0%
57,玛力露丽,7,0.5%,-0.92%,16,84.21%
58,花疗环环,12,0.42%,-0.27%,13,81.25%
59,古月鸟,13,0.4%,-0.19%,8,53.33%
60,水晶灯火灵,9,0.34%,0.06%,12,92.31%
60,胖可丁,8,0.34%,0.02%,6,46.15%
62,快龙,6,0.32%,-0.16%,8,66.67%
63,阿罗拉九尾,7,0.29%,-0.14%,7,63.64%
64,魔墙人偶,5,0.24%,0.0%,6,66.67%
65,妖火红狐,7,0.21%,-0.16%,6,75.0%
66,仙子伊布,6,0.18%,-0.16%,6,85.71%
67,拉普拉斯,5,0.16%,-0.12%,5,83.33%
68,多龙巴鲁托,3,0.11%,-0.3%,4,100.0%
68,铝钢龙,2,0.11%,0.0%,4,100.0%
70,藏饱栗鼠,3,0.08%,0.01%,3,100.0%
71,列阵兵,2,0.05%,-0.12%,2,100.0%
